merchant_name,merchant_category,purchase_channel,amount,country,metadata,source,scrape_date,best_card,month,dayofweek,is_weekend,user_segment,is_foreign,reward_travel,reward_grocery,reward_flat
BookStore Direct,online_retail,online,69.89,US,HTML_Scrape,real_crawler,2025-05-28,Card_Flat,5,2,0,Online Bargain Hunter,0,0.6941587884359564,0.6731608662542629,1.4172187864615085
BookStore Direct,online_retail,online,72.55,US,HTML_Scrape,real_crawler,2025-04-05,Card_Flat,4,5,1,General Shopper,0,0.7224798135401547,0.781889012531695,1.4631765102093173
BookStore Direct,online_retail,online,67.64,US,HTML_Scrape,real_crawler,2025-07-05,Card_Flat,7,5,1,General Shopper,0,0.6390538357464917,0.7259083119479645,1.3571055434129489
BookStore Direct,online_retail,online,64.56,US,HTML_Scrape,real_crawler,2025-04-26,Card_Flat,4,5,1,General Shopper,0,0.6719268341836154,0.6217294646903601,1.28034344625269
BookStore Direct,online_retail,online,73.21,US,HTML_Scrape,real_crawler,2025-02-06,Card_Flat,2,3,0,Online Bargain Hunter,0,0.7363084115092848,0.7327414321771842,1.4317086557251282
BookStore Direct,online_retail,online,30.58,US,HTML_Scrape,real_crawler,2025-02-25,Card_Flat,2,1,0,Online Bargain Hunter,0,0.29236771233451286,0.21398201081148016,0.6355913517683417
BookStore Direct,online_retail,online,45.01,US,HTML_Scrape,real_crawler,2025-01-19,Card_Flat,1,6,1,Online Bargain Hunter,0,0.48979092335719077,0.43523119603784466,0.8785613058205806
BookStore Direct,online_retail,online,24.21,US,HTML_Scrape,real_crawler,2025-04-25,Card_Flat,4,4,0,General Shopper,0,0.29141882529529683,0.20650133863705386,0.4718808298742726
BookStore Direct,online_retail,online,30.51,US,HTML_Scrape,real_crawler,2025-04-15,Card_Flat,4,1,0,General Shopper,0,0.29706844402372534,0.28089130243756316,0.5330598390878551
BookStore Direct,online_retail,online,70.4,US,HTML_Scrape,real_crawler,2025-04-28,Card_Flat,4,0,0,General Shopper,0,0.6952310772050655,0.7285752823623393,1.3596876840123375
BookStore Direct,online_retail,online,18.89,US,HTML_Scrape,real_crawler,2025-11-27,Card_Flat,11,3,0,Online Bargain Hunter,0,0.2042490536343119,0.2795703849257712,0.3773355719216092
BookStore Direct,online_retail,online,27.89,US,HTML_Scrape,real_crawler,2025-10-24,Card_Flat,10,4,0,General Shopper,0,0.2928174317322335,0.2534393318700433,0.5406560569221218
BookStore Direct,online_retail,online,23.57,US,HTML_Scrape,real_crawler,2025-11-29,Card_Flat,11,5,1,General Shopper,0,0.20645461732911152,0.2117620714239156,0.4290820140056514
